,xcentre,ycentre,zcentre,cut_vulcan,cut_poz,f1
397,475239.909,7481566.381,1587.5,1.435,0.69,22.0
398,475137.617,7481560.891,1587.5,1.219,0.79,23.0
399,475163.665,7481579.799,1587.5,1.2990000000000002,0.52,22.0
400,475200.656,7481583.73,1587.5,1.227,0.41,22.0
401,475262.565,7481617.21,1587.5,0.22899999999999998,0.28,23.0
402,475234.256,7481619.581,1587.5,1.652,0.33,23.0
403,475158.374,7481541.576,1587.5,1.315,0.41,22.0
404,475175.739,7481554.182,1587.5,1.032,0.943,22.0
405,475181.03,7481592.405,1587.5,1.206,1.108,22.0
406,475162.534,7481590.44,1587.5,1.531,0.91,22.0
407,475170.086,7481607.382,1587.5,1.382,1.966,22.0
408,475160.273,7481611.72,1587.5,1.435,0.674,23.0
409,475149.691,7481535.274,1587.5,0.46799999999999997,0.417,23.0
410,475151.59,7481605.417,1587.5,1.58,0.933,23.0
411,475146.299,7481567.194,1587.5,1.4,1.055,22.0
412,475147.43,7481556.554,1587.5,1.254,2.052,22.0
413,475154.982,7481573.497,1587.5,1.51,0.72,22.0
414,475187.451,7481619.988,1587.5,1.213,0.705,23.0
415,475190.843,7481588.068,1587.5,1.192,1.332,22.0
416,475183.291,7481571.125,1587.5,1.325,1.561,22.0
417,475182.232,7481586.895,1587.5,1.208,1.185,22.0
418,475177.638,7481624.325,1587.5,0.395,0.495,23.0
419,475164.795,7481569.159,1587.5,1.365,0.614,22.0
420,475153.851,7481584.137,1587.5,1.5490000000000002,1.027,22.0
421,475209.339,7481590.033,1587.5,1.213,1.373,22.0
422,475227.835,7481591.998,1587.5,0.508,0.378,22.0
423,475219.152,7481585.696,1587.5,1.452,0.952,22.0
424,475225.573,7481613.279,1587.5,1.217,1.918,23.0
425,475237.648,7481587.661,1587.5,0.522,0.561,22.0
426,475207.722,7481606.469,1587.5,1.218,0.608,22.0
427,475211.6,7481568.753,1587.5,1.308,1.267,22.0
428,475263.696,7481606.569,1587.5,0.226,0.24,22.0
429,475256.144,7481589.627,1587.5,0.26,0.515,22.0
430,475258.405,7481568.346,1587.5,1.0659999999999998,0.563,22.0
431,475242.939,7481625.884,1587.5,0.233,0.246,23.0
432,475246.331,7481593.964,1587.5,0.25,0.527,22.0
433,475247.461,7481583.324,1587.5,0.289,0.658,22.0
434,474138.874,7479823.877,1617.5,0.131,1.89,9.0
435,474177.281,7479820.554,1617.5,0.302,1.333,8.0
436,474118.482,7479824.041,1617.5,0.121,0.676,9.0
437,474174.842,7479800.999,1617.5,1.185,0.526,8.0
438,474118.059,7479839.91,1617.5,0.11699999999999999,0.214,9.0
439,474093.536,7479827.506,1617.5,0.087,0.383,9.0
440,474077.039,7479831.007,1617.5,0.5489999999999999,0.517,9.0
441,474108.525,7479821.826,1617.5,0.11699999999999999,0.582,9.0
442,474164.542,7479787.372,1617.5,1.271,1.508,8.0
443,474181.967,7479794.238,1617.5,1.663,2.522,8.0
444,474156.588,7479794.05,1617.5,0.84,0.702,8.0
