midx,midy,midz,cut_real,cut_est,ugcut,f1
474545.560,7479493.440,1632.500, 0.132, 0.149,10,4
474511.441,7479508.257,1632.500, 0.739, 0.303,10,4
474522.102,7479509.460,1632.500, 0.382, 0.313,10,4
474528.502,7479500.849,1632.500, 0.402, 0.204,10,4
474534.900,7479492.240,1632.500, 0.983, 0.194,10,4
474547.700,7479475.010,1632.500, 0.500, 0.145,10,4
474541.300,7479483.630,1632.500, 0.464, 0.149,10,4
474549.820,7479503.260,1632.500, 0.738, 0.206,10,4
474532.763,7479510.663,1632.500, 0.412, 0.262,10,4
474566.890,7479495.850,1632.500, 0.061, 0.123,10,4
474556.220,7479494.640,1632.500, 0.163, 0.094,10,4
474573.290,7479487.240,1632.500, 0.235, 0.091,10,4
474583.950,7479488.440,1632.500, 0.048, 0.086,10,4
474579.690,7479478.620,1632.500, 0.148, 0.083,10,4
474551.960,7479484.830,1632.500, 0.194, 0.129,10,4
474560.490,7479504.460,1632.500, 0.240, 0.126,10,4
474590.617,7479473.551,1602.500, 0.910, 0.114,10,8
474588.210,7479498.250,1632.500, 0.202, 0.093,10,4
474590.350,7479479.830,1632.500, 0.393, 0.083,10,4
474581.810,7479506.860,1632.500, 0.240, 0.094,10,4
474571.150,7479505.660,1632.500, 0.445, 0.090,10,4
474577.550,7479497.050,1632.500, 0.173, 0.089,10,4
474558.360,7479476.220,1632.500, 0.276, 0.115,10,4
474562.620,7479486.030,1632.500, 0.361, 0.109,10,4
474569.020,7479477.420,1632.500, 0.174, 0.079,10,4
474598.870,7479499.460,1632.500, 0.143, 0.081,10,4
474626.590,7479493.250,1632.500, 0.064, 0.077,10,4
474603.130,7479509.270,1632.500, 0.114, 0.084,10,4
474594.610,7479489.640,1632.500, 0.087, 0.082,10,4
474609.530,7479500.660,1632.500, 0.093, 0.070,10,4
474622.330,7479483.440,1632.500, 0.092, 0.080,10,4
474613.790,7479510.470,1632.500, 0.084, 0.076,10,4
474620.190,7479501.860,1632.500, 0.083, 0.072,10,4
474611.670,7479482.230,1632.500, 0.072, 0.082,10,4
474628.714,7479474.831,1632.500, 0.084, 0.079,10,4
474625.438,7479485.177,1617.500, 0.116, 0.131,10,7
474601.578,7479473.839,1617.500, 0.098, 0.130,10,7
474630.850,7479503.070,1632.500, 0.061, 0.073,10,4
474615.930,7479492.050,1632.500, 0.092, 0.077,10,4
474601.010,7479481.030,1632.500, 0.153, 0.083,10,4
474624.450,7479511.680,1632.500, 0.061, 0.074,10,4
474610.374,7479479.983,1617.500, 1.140, 0.123,10,7
474605.270,7479490.850,1632.500, 0.059, 0.082,10,4
474592.470,7479508.070,1632.500, 0.186, 0.086,10,4
